Pitcher,PrevPitch,Strikes,Balls,Outs,Handedness,RunnerFirst,RunnerSecond,RunnerThird,PitchResult
Yamamoto,SL,0,0,0,R,False,False,False,FS
Yamamoto,FS,0,1,0,R,False,False,False,FF
Yamamoto,FF,1,1,0,R,False,False,False,FF
Yamamoto,FF,0,0,0,R,False,False,False,CB
Yamamoto,CB,1,0,0,R,False,False,False,FF
Yamamoto,FF,2,0,0,R,False,False,False,CB
Yamamoto,CB,0,0,1,L,False,False,False,FS
Yamamoto,FS,0,1,1,L,False,False,False,CB
Yamamoto,CB,0,2,1,L,False,False,False,FF
Yamamoto,FF,1,2,1,L,False,False,False,CB
Yamamoto,CB,2,2,1,L,False,False,False,FF
Yamamoto,FF,0,0,2,L,False,False,False,FS
Yamamoto,FS,1,0,2,L,False,False,False,CB
Yamamoto,CB,1,1,2,L,False,False,False,FF
Yamamoto,FF,2,1,2,L,False,False,False,FF
chrissale,FF,0,0,0,L,False,False,False,FF
chrissale,FF,0,0,0,R,False,False,False,FF
chrissale,FF,1,0,0,R,False,False,False,FF
chrissale,FF,2,0,0,R,False,False,False,CH
chrissale,CH,0,0,1,L,False,False,False,SI
chrissale,SI,1,0,1,L,False,False,False,SL
chrissale,SL,2,0,1,L,False,False,False,FF
chrissale,FF,0,0,2,L,False,False,False,FF
chrissale,FF,1,0,2,L,False,False,False,FF
chrissale,FF,2,0,2,L,False,False,False,CH
Yamamoto,CH,0,0,0,L,False,False,False,CB
Yamamoto,CB,0,1,0,L,False,False,False,FF
Yamamoto,FF,1,1,0,L,False,False,False,FS
Yamamoto,FS,2,1,0,L,False,False,False,FF
Yamamoto,FF,2,1,0,L,False,False,False,CB
Yamamoto,CB,0,0,0,L,False,False,False,CB
Yamamoto,CB,1,0,0,L,False,False,False,FS
Yamamoto,FS,2,0,0,L,False,False,False,FF
Yamamoto,FF,0,0,1,L,False,False,False,FS
Yamamoto,FS,1,0,1,L,False,False,False,FF
Yamamoto,FF,2,0,1,L,False,False,False,FS
Yamamoto,FS,0,0,2,L,False,False,False,FF
Yamamoto,FF,1,0,2,L,False,False,False,FF
Yamamoto,FF,2,0,2,L,False,False,False,CB
Yamamoto,CB,0,0,0,L,False,False,False,CB
Yamamoto,CB,0,1,0,L,False,False,False,FF
Yamamoto,FF,1,1,0,L,False,False,False,FS
Yamamoto,FS,2,1,0,L,False,False,False,CB
Yamamoto,CB,0,0,1,R,False,False,False,FS
Yamamoto,FS,1,0,1,R,False,False,False,FF
Yamamoto,FF,2,0,1,R,False,False,False,FS
Yamamoto,FS,0,0,1,R,False,True,False,CB
Yamamoto,CB,1,0,1,R,False,True,False,FS
Yamamoto,FS,2,0,1,R,False,True,False,FF
Yamamoto,FF,0,0,2,L,False,True,False,FS
Yamamoto,FS,1,0,2,L,False,True,False,CB
Yamamoto,CB,2,0,2,L,False,True,False,FF
rokisasaki,FF,0,0,0,L,False,False,False,CU
rokisasaki,CU,1,0,0,L,False,False,False,FF
rokisasaki,FF,2,0,0,L,False,False,False,CU
rokisasaki,CU,0,0,1,L,False,False,False,FS
rokisasaki,FS,1,0,1,L,False,False,False,FF
rokisasaki,FF,2,0,1,L,False,False,False,FF
rokisasaki,FF,2,0,1,L,False,False,False,FS
rokisasaki,FS,0,0,1,L,False,False,False,FF
rokisasaki,FF,1,0,1,L,False,False,False,FS
rokisasaki,FS,2,0,1,L,False,False,False,FF
rokisasaki,FF,0,0,2,L,False,False,False,CU
rokisasaki,CU,1,0,2,L,False,False,False,CU
rokisasaki,CU,2,0,2,L,False,False,False,FS
rokisasaki,FS,0,0,0,L,False,False,False,CU
rokisasaki,CU,1,0,0,L,False,False,False,FF
rokisasaki,FF,1,1,0,L,False,False,False,FF
rokisasaki,FF,2,1,0,L,False,False,False,FS
