pitcher,pitch_type,firstx,firsty,secondx,secondy,finalx,finaly,hit_type,called_strike,foul,swinging_strike,ball,in_zone
Yamamoto,FC,588.0,423.0,695.3146516307123,542.5799156350477,695.3146516307123,542.5799156350477,false,True,False,False,False,True
Yamamoto,FF,588.0,423.0,688.1101472722141,446.2684147360745,688.1101472722141,446.2684147360745,false,True,False,False,False,True
Yamamoto,FS,588.0,423.0,580.9112548695516,518.7213996756035,562.4805052497777,614.6567548899217,false,False,False,False,True,False
Yamamoto,FF,588.0,423.0,591.4783332566687,406.1814785375509,587.4242466760805,406.5989944802699,false,True,False,False,False,True
Yamamoto,FC,588.0,423.0,696.6225927078852,430.99233638199877,696.6225927078852,430.99233638199877,false,True,False,False,False,True
Yamamoto,FF,588.0,423.0,587.4066580966033,391.89874724054033,582.2426220830962,388.4227528022902,false,False,False,False,True,False
Yamamoto,CB,588.0,423.0,594.5300882864285,485.24240198403265,597.6456398823217,575.2578879672672,false,False,False,False,True,False
Yamamoto,FF,588.0,423.0,599.4985147693217,525.683058445311,599.4985147693217,525.683058445311,false,True,False,False,False,True
Yamamoto,CB,588.0,423.0,589.3242088112313,496.1571610727307,589.9559982594233,591.3801562971886,false,False,False,False,True,False
Yamamoto,FF,588.0,423.0,553.9039506021332,387.38622218818404,527.5832839373088,380.44783416856694,false,False,False,False,True,False
Yamamoto,FF,588.0,423.0,634.5157251525508,471.28415946510455,634.5157251525508,471.28415946510455,false,True,False,False,False,True
Yamamoto,FF,588.0,423.0,591.5268744830113,570.5427410986371,591.5268744830113,570.5427410986371,false,False,False,False,True,False
Yamamoto,FF,588.0,423.0,631.4492744561887,430.90460999523424,642.1260336898252,444.7291545173919,false,True,False,False,False,True
Yamamoto,FF,588.0,423.0,610.2394133015807,507.51598512640066,610.2394133015807,507.51598512640066,false,True,False,False,False,True
Yamamoto,FS,588.0,423.0,567.0461129239034,492.1343068566367,541.1710188608846,575.3847708675016,false,False,False,False,True,False
Yamamoto,CB,588.0,423.0,628.5620352066618,484.372561848637,647.9144708825205,573.9730409126488,false,False,False,False,True,False
Yamamoto,FF,588.0,423.0,599.8613128000684,414.2120153125244,595.4672307170157,420.0724041108769,false,True,False,False,False,True
Yamamoto,CB,588.0,423.0,635.3839330406988,486.8798748760758,657.9911447244143,577.6766108299485,false,False,False,False,True,False
Yamamoto,CB,588.0,423.0,571.3976102769342,476.9847651295556,563.4764919813612,563.0604738001709,false,True,False,False,False,True
Yamamoto,FS,588.0,423.0,536.739247358253,497.52948536983865,498.9646581477098,583.3540274466723,false,False,False,False,True,False
Yamamoto,FC,588.0,423.0,585.8319864091258,424.2512638503485,585.8319864091258,424.2512638503485,false,True,False,False,False,True
Yamamoto,FF,588.0,423.0,590.6752693239773,524.2653374001709,590.6752693239773,524.2653374001709,false,True,False,False,False,True
Yamamoto,CB,588.0,423.0,611.1195855363328,465.4596581141318,617.4220457883333,507.04801000983036,false,False,False,True,False,True
Yamamoto,FS,588.0,423.0,600.1031333458262,522.6935481354471,587.6833167525353,620.5240436496154,false,False,False,True,False,False
Yamamoto,CB,588.0,423.0,624.9823171166194,453.23922727673323,642.626843814975,527.9857708415025,false,True,False,False,False,True
Yamamoto,FC,588.0,423.0,678.3607025873567,498.5804589680348,678.3607025873567,498.5804589680348,false,False,False,True,False,True
Yamamoto,FS,588.0,423.0,580.0394015080176,488.544023163146,561.6941310088799,570.0815372719076,false,False,False,False,True,False
Yamamoto,FF,588.0,423.0,704.9507549496526,541.7072083433989,704.9507549496526,541.7072083433989,false,True,False,False,False,True
Yamamoto,CB,588.0,423.0,598.3514208549982,469.3945125801854,603.2901574156624,551.8488577399017,false,False,False,True,False,True
Yamamoto,FS,588.0,423.0,611.5980670149627,497.6176535803812,618.2747898786849,583.4842613379551,false,False,False,True,False,False
Yamamoto,FS,588.0,423.0,578.7413078129958,486.04047448559135,559.5429728964166,566.3835277026125,false,True,False,False,False,True
Yamamoto,FF,588.0,423.0,634.7996277405379,579.409046368304,634.7996277405379,579.409046368304,false,False,False,True,False,False
Yamamoto,FF,588.0,423.0,641.2090813947609,440.48177342678974,641.2090813947609,440.48177342678974,false,False,False,True,False,True
Yamamoto,FC,588.0,423.0,572.5385624762572,466.4535557593011,572.5385624762572,466.4535557593011,false,True,False,False,False,True
Yamamoto,FF,588.0,423.0,580.1883006313881,432.3742958228326,566.4080844304341,446.90003791304633,false,True,False,False,False,True
Yamamoto,FF,588.0,423.0,627.4012777640005,442.6705928181426,627.4012777640005,442.6705928181426,false,True,False,False,False,True
Yamamoto,FF,588.0,423.0,567.0370697024658,420.1370677734282,546.9823076284159,428.82434126929445,false,False,False,False,True,False
Yamamoto,FF,588.0,423.0,567.8394001414675,503.27249717379635,567.8394001414675,503.27249717379635,false,True,False,False,False,True
Yamamoto,FF,588.0,423.0,576.577047080535,420.08235995363276,561.0738761092881,428.7435319593207,false,True,False,False,False,True
Yamamoto,FF,588.0,423.0,600.571001473352,389.38277092314826,596.5155169071555,383.39695051435865,false,False,False,False,True,False
Yamamoto,FS,588.0,423.0,631.3904283599703,501.385611968073,646.7879339487805,589.0499394888589,false,False,False,True,False,False
Yamamoto,FC,588.0,423.0,681.2903311466907,533.9789060807809,681.2903311466907,533.9789060807809,false,True,False,False,False,True
Yamamoto,FF,588.0,423.0,592.8328367261365,588.7179340878304,592.8328367261365,588.7179340878304,false,False,False,False,True,False
Yamamoto,CB,588.0,423.0,600.8619062049053,463.793087739316,606.9984131930574,543.5749532422847,false,True,False,False,False,True
Yamamoto,FF,588.0,423.0,686.2331993452492,492.65964902988077,686.2331993452492,492.65964902988077,false,True,False,False,False,True
Yamamoto,FS,588.0,423.0,569.8016079099864,495.42870317319097,551.0671531570413,580.2509471128017,false,False,False,True,False,False
Yamamoto,FC,588.0,423.0,700.9447916149226,443.9959506307429,700.9447916149226,443.9959506307429,false,True,False,False,False,True
Yamamoto,FF,588.0,423.0,656.2739465887546,501.6620082179178,656.2739465887546,501.6620082179178,false,True,False,False,False,True
Yamamoto,FF,588.0,423.0,578.2149815001701,383.5966066040617,563.4932806976602,374.850166018682,false,False,False,False,True,False
Yamamoto,FF,588.0,423.0,610.7029696061031,425.3056670110971,611.4815191449487,436.4589159880174,false,True,False,False,False,True
Yamamoto,FF,588.0,423.0,612.8786960229919,444.3959458052706,612.8786960229919,444.3959458052706,false,True,False,False,False,True
Yamamoto,FF,588.0,423.0,583.0027000337147,428.8100426060166,570.565253817605,441.6352541198067,false,True,False,False,False,True
Yamamoto,CB,588.0,423.0,650.0607954030057,510.3840302652325,679.6704425745569,612.3947660336247,false,False,False,False,True,False
Yamamoto,FS,588.0,423.0,572.4015154824924,516.4651869476056,560.26161478258,611.3240870119992,false,False,False,True,False,False
Yamamoto,FC,588.0,423.0,630.7088507763426,477.79617672757314,630.7088507763426,477.79617672757314,false,True,False,False,False,True
Yamamoto,CB,588.0,423.0,621.1782877439846,471.537751976075,637.0078849554957,555.0146519049392,false,False,False,True,False,True
Yamamoto,FF,588.0,423.0,623.1183094017066,477.25503125812935,623.1183094017066,477.25503125812935,false,False,False,True,False,True
Yamamoto,FF,588.0,423.0,562.3970120164649,384.58830833797816,540.1284453972758,376.3150157077608,false,False,False,False,True,False
Yamamoto,FF,588.0,423.0,696.7920000356455,454.48042799647396,696.7920000356455,454.48042799647396,false,True,False,False,False,True
Yamamoto,CB,588.0,423.0,608.0103935603905,460.2784994168747,617.55749474141,538.3835298179895,false,False,False,True,False,True
Yamamoto,CB,588.0,423.0,648.3448988360606,480.3511077782377,677.1358795435391,568.0329224846967,false,True,False,False,False,True
Yamamoto,CB,588.0,423.0,626.8459410224457,457.76235873294445,645.3796159496252,534.6669205064599,false,True,False,False,False,True
Yamamoto,FC,588.0,423.0,657.203316769475,433.8367222493178,657.203316769475,433.8367222493178,false,True,False,False,False,True
Yamamoto,FC,588.0,423.0,635.5706482348068,452.69892251575146,635.5706482348068,452.69892251575146,false,False,False,True,False,True
Yamamoto,FF,588.0,423.0,608.7033419360449,524.8702102285539,608.7033419360449,524.8702102285539,false,False,False,True,False,True
Yamamoto,FC,588.0,423.0,704.0085215366855,420.33481416057816,704.0085215366855,420.33481416057816,false,True,False,False,False,True
Yamamoto,CB,588.0,423.0,560.9360506677764,502.404711191768,548.0236478280754,600.6084570416413,false,False,True,False,False,False
Yamamoto,FS,588.0,423.0,618.9020655900111,499.5641313566304,621.50069633107,586.3594175142755,false,False,False,False,True,False
Yamamoto,CB,588.0,423.0,636.9379518253124,481.0607657711471,660.2865969310709,569.0811633566371,false,False,True,False,False,False
Yamamoto,CB,588.0,423.0,607.8490841589983,494.14400537997676,617.3192234765795,588.4065096958545,false,False,False,True,False,False
Yamamoto,FF,588.0,423.0,610.1434424006634,387.3360040797648,611.1775140093475,382.616193770954,false,False,False,True,False,False
Yamamoto,FC,588.0,423.0,629.2051358886849,546.1068660889231,629.2051358886849,546.1068660889231,false,True,False,False,False,True
Yamamoto,CB,588.0,423.0,641.6152920220544,498.6394583109914,667.1955294241654,595.0467752142567,false,False,False,True,False,False
Yamamoto,FF,588.0,423.0,570.6474910763211,431.48381880627835,552.3152867349957,445.5847079743965,false,False,False,True,False,False
Yamamoto,FC,588.0,423.0,681.8712131641001,509.3985658407172,681.8712131641001,509.3985658407172,false,False,False,True,False,True
Yamamoto,FF,588.0,423.0,557.2812765588725,525.4822752735762,557.2812765588725,525.4822752735762,false,True,False,False,False,True
Yamamoto,FC,588.0,423.0,566.5688219164466,506.9048937464087,566.5688219164466,506.9048937464087,false,False,False,True,False,True
Yamamoto,FF,588.0,423.0,685.2304616838547,464.5116523037499,685.2304616838547,464.5116523037499,false,False,False,True,False,True
Yamamoto,FF,588.0,423.0,666.2240098134246,487.03439575106694,666.2240098134246,487.03439575106694,false,True,False,False,False,True
Yamamoto,FF,588.0,423.0,572.6502479037392,421.60513540624504,555.2735730983339,430.99283441792056,false,True,False,False,False,True
Yamamoto,CB,588.0,423.0,556.6710212978327,467.0378886374984,548.1306587253338,509.0564703539859,false,False,False,False,True,False
Yamamoto,CB,588.0,423.0,556.5815614624269,498.6374165473018,541.5916008320874,595.0437593105797,false,False,False,False,True,False
Yamamoto,FF,588.0,423.0,586.7055422790103,433.8859522152934,586.7055422790103,433.8859522152934,false,True,False,False,False,True
Yamamoto,FS,588.0,423.0,596.0437299808123,485.65584305505547,597.5486348270842,565.8153858791579,false,False,False,True,False,True
Yamamoto,FF,588.0,423.0,582.9734078941244,422.9159011614417,570.5219861897448,432.92897584360117,false,True,False,False,False,True
Yamamoto,FF,588.0,423.0,615.1596319562439,418.0618615382112,618.0644868202708,425.75903937007627,false,True,False,False,False,True
Yamamoto,FC,588.0,423.0,673.6246818811674,462.955988370292,673.6246818811674,462.955988370292,false,False,False,True,False,True
Yamamoto,FC,588.0,423.0,670.3192321083909,441.2519299263267,670.3192321083909,441.2519299263267,false,True,False,False,False,True
Yamamoto,FC,588.0,423.0,562.7651079906478,497.5219531419134,562.7651079906478,497.5219531419134,false,False,False,True,False,True
Yamamoto,FS,588.0,423.0,593.3670223202544,526.1255051934896,592.77959028868,625.5934118451829,false,False,False,True,False,False
Yamamoto,FS,588.0,423.0,583.9000616299635,509.1647296514485,563.3040112430035,600.5405295827148,false,False,False,False,True,False
Yamamoto,FF,588.0,423.0,580.7004350000389,428.1142251508643,567.1645617512128,440.6074572046897,false,True,False,False,False,True
Yamamoto,FF,588.0,423.0,648.2400992237863,518.1717275382377,648.2400992237863,518.1717275382377,false,False,False,True,False,True
Yamamoto,FF,588.0,423.0,658.5290873697338,596.0116739312153,658.5290873697338,596.0116739312153,false,False,False,True,False,False
Yamamoto,FC,588.0,423.0,600.0682012658264,493.4949492701507,600.0682012658264,493.4949492701507,false,True,False,False,False,True
Yamamoto,CB,588.0,423.0,590.9634850827185,493.37347172806625,592.3773849067161,587.2683489547533,false,False,True,False,False,False
Yamamoto,FF,588.0,423.0,664.5114227483672,559.07764022119,664.5114227483672,559.07764022119,false,True,False,False,False,True
Yamamoto,FS,588.0,423.0,617.299589022047,482.30339166082297,613.492036037297,560.8634560654433,false,False,True,False,False,False
Yamamoto,FF,588.0,423.0,602.2523075973719,374.64341068803486,598.9989861487495,361.625336611498,false,False,False,False,True,False
Yamamoto,FC,588.0,423.0,715.3177418076019,540.2299586824781,715.3177418076019,540.2299586824781,false,False,False,True,False,False
Yamamoto,CB,588.0,423.0,571.0700864343961,509.3147770154494,562.992704182571,610.8153644485275,false,False,False,False,True,False
Yamamoto,FS,588.0,423.0,615.9633090817802,490.3353857982256,621.29357916183,572.7275717692567,false,False,True,False,False,False
Yamamoto,FF,588.0,423.0,623.6200596354468,462.969055359267,623.6200596354468,462.969055359267,false,True,False,False,False,True
Yamamoto,FS,588.0,423.0,592.530725608183,509.4398283359072,590.4078093130067,579.6055535633902,false,False,False,False,True,False
Yamamoto,FC,588.0,423.0,664.2943439453423,483.8644806351849,664.2943439453423,483.8644806351849,false,True,False,False,False,True
Yamamoto,FF,588.0,423.0,636.5843612938382,494.6108521147325,636.5843612938382,494.6108521147325,false,False,False,True,False,True
Yamamoto,CB,588.0,423.0,646.7678847466215,478.04801560404445,674.8064608084675,564.6310086431595,false,True,False,False,False,True
Yamamoto,FC,588.0,423.0,573.8088600013892,452.7241582698243,573.8088600013892,452.7241582698243,false,True,False,False,False,True
Yamamoto,FF,588.0,423.0,631.5595758331631,429.5591435375684,642.2889606387658,442.74175643713005,false,False,False,True,False,True
Yamamoto,FF,588.0,423.0,634.569806577737,545.9026048933823,634.569806577737,545.9026048933823,false,False,False,True,False,True
Yamamoto,FF,588.0,423.0,562.4872975588937,391.8600232761464,540.2618068145567,387.0561175955012,false,False,False,False,True,False
Yamamoto,FF,588.0,423.0,573.0592394048073,398.1015132611943,555.8776973553413,396.2754668729082,false,False,False,False,True,False
Yamamoto,FC,588.0,423.0,634.4029546483414,491.7011848293997,634.4029546483414,491.7011848293997,false,True,False,False,False,True
Yamamoto,FS,588.0,423.0,565.6037342359679,518.0586709731738,548.495955618553,613.6778336069428,false,False,False,True,False,False
